movie_title,director,director_nationality,director_gender,producer,producer_gender,producer_nationality,castId,production_company,release_date,country,budget,gross,length
22 Jump Street,"""Chris Miller"" ",US,male,Neal H Moritz,male,US,7834,"Original Film, The Cannel Studios",2014,US,50-84.5,204,112
Alice in Wonderland,Tim Burton,US,male,Richard D Zanuck,male,US,3816,Walt Disney Pictures,2010,US,150-200,368,108
Antz,Eric Darnell,US,male,Brad Lewis,male,US,1671,Dream Works Pictures,1998,US,42-105,168,83
Charlie's Angels,McG,US,male,Drew Barrymore,female,US,1989,Columbia Pictures,2000,US,93,201,98
Finding Nemo,Andrew Stanton,US,male,Graham Walters,,,2296,Walt Disney Pictures,2003,US,94,549,100
Harry Potter and the Chamber of Secrets,Chris Columbus,US,male,David Heyman,male,UK,989,Warner Bros Pictures,2002,UK/US,100,392,161
Inside Out,Pete Docter,US,male,Jonas Rivera,male,US,5425,Walt Disney Pictures,2015,US,175,367,94
Ratatouille,Brad Bird,US,male,Brad Lewis,male,US,4853,Walt Disney Pictures,2007,US,150,260,111
Shrek 2,Andrew Adamson,NZ,male,Aron Warner,male,US,8649,Dream Works Pictures,2004,US,150,610,92
Spider-Man 2,Sam Raimi,US,male,Laura Ziskin,female,US,6679,Columbia Pictures,2004,US,200,522,127
The Dark Knight Rises,Chrisopher Nolan,UK,male,Emma Thomas,female,UK,8807,Warner Bros Pictures,2012,US/UK,250-300,489,165
